headers={"Authorization" : "XYhuY+UG500vL5IjopI/Q7LL/jTgBBMbFRnibjn0Xyn+Bua+OhauCO2LJz5Df8Uxg2J6YyIkNhsAX/Qph0eNSf6UfQFRDKKLjUZ+8ZSSBE5LsQgAjbD9mSZBh7afBvgk2EvgVKA6+NzFT3NuooK5La38FZ9Af/GgIeFISnwNlnlUa5facSasYe8TZZtAEKL8G4rj+KkG7hpQK1sCColjvdYYDg73AFyqAsgo2QTXrkagFXHnJLnuB9vfoxW/PNUSMBr4W+aG9I7rvfeIH0VXZtKY4E5B8SpRaQEbFTUAjAUghhMRRhpMFskHrDywG0xOLXIxl1olyMeTPLA7tl6uI+2lgFXNQX3hY0Gg63kwNg3TF8BJx4i9KeeOQrUPGOqmxwUmQuwHtPlgHlrQzzHWA8yGT6uJrKsBT2uW50kp7vs="  }
台灣,#genre#
年代新聞,http://zms.anddowns1888.com:8080/live/m3u8/2719/4e8aec6588008aa8a822605f32bc7359/playlist.m3u8
壹新聞,http://hrt.anddowns1888.com:8080/live/m3u8/2777/3ef0aa232d3668b26f4ad7b231e41a2e/playlist.m3u8
年代新聞備,http://ykp.anddowns1888.com:8080/live/m3u8/1099/3b287a41741a0cd77fb10598df5ef8c9/playlist.m3u8
東森戲劇,http://vnd.anddowns1888.com:8080/live/m3u8/2825/9eb9d57c8d4d49fbe98b24dfccea0398/playlist.m3u8
東森戲劇備,http://nsk.anddowns1888.com:8080/live/m3u8/321/f11d82c3c6bb92bfad182950b5ebbd71/playlist.m3u8
八大戲劇台,http://qlf.anddowns1888.com:8080/live/m3u8/81/95825195a6d6845570518e155dcb9c2e/playlist.m3u8
東森電影台,http://ykp.anddowns1888.com:8080/live/m3u8/350/04f4ab7fde5cd50926439b7825a8bc97/playlist.m3u8
東森電影台,http://mjh.anddowns1888.com:8080/live/m3u8/2720/8b1039e5f4450bd09ee1baed6a062bfb/playlist.m3u8
緯來電影台,http://mjh.anddowns1888.com:8080/live/m3u8/2728/b13542d634329da096611dfbad6177d2/playlist.m3u8
東森洋片,http://nsk.anddowns1888.com:8080/live/m3u8/1128/566ee746a9887c490a0e5c08f84e27e2/playlist.m3u8
好萊塢電影,http://xbt.anddowns1888.com:8080/live/m3u8/37/69b6a4a186bc82c247ef39f3499ca76d/playlist.m3u8
愛爾達影劇,http://ykp.anddowns1888.com:8080/live/m3u8/500/7a0171e994fa6778bfd86f938116bc48/playlist.m3u8
三立戲劇台,http://xbt.anddowns1888.com:8080/live/m3u8/64/c9534747fe1a8ce1358f18cf2f670d87/playlist.m3u8
華納電影台,http://qlf.anddowns1888.com:8080/live/m3u8/83/9b23eb84c03de435fc90780f505758d9/playlist.m3u8
愛爾達體育1台,http://hrt.anddowns1888.com:8080/live/m3u8/2729/e061667a79920e65c485b827216530df/playlist.m3u8
愛爾達體育3台,http://ykp.anddowns1888.com:8080/live/m3u8/194/c48094e60be079492afe9fae5d793dea/playlist.m3u8
愛爾達體育4台,http://wjz.anddowns1888.com:8080/live/m3u8/2820/6f27f607f242fcfc03ea8a9d401c55d6/playlist.m3u8
Eleven sport2,http://pfc.anddowns1888.com:8080/live/m3u8/301/f6e8f796280b43a8960a146f850865b0/playlist.m3u8
博斯運動2,http://ltr.anddowns1888.com:8080/live/m3u8/379/55d914491eaae619c35c5af7bb359749/playlist.m3u8
亞洲旅遊,http://mjh.anddowns1888.com:8080/live/m3u8/2299/df47776365a365c263337ec936cf1a83/playlist.m3u8
探索頻道,http://vnd.anddowns1888.com:8080/live/m3u8/2817/0e2f24a63e34c35c6687e11817c64749/playlist.m3u8
動物星球,http://mjh.anddowns1888.com:8080/live/m3u8/367/61905fe39e7a001aaea26b8343a4e155/playlist.m3u8
美食星球,http://nsk.anddowns1888.com:8080/live/m3u8/1360/9a0080c85a512ebadb2b130b39ba058b/playlist.m3u8
momo親子台,http://gbx.anddowns1888.com:8080/live/m3u8/2767/cc816a7cd19dc6817369dca4d3602949/playlist.m3u8
東森幼幼台,http://ltr.anddowns1888.com:8080/live/m3u8/371/2add2eab82fbacc7dcadd4033de4833a/playlist.m3u8
港澳,#genre#
翡翠台,http://wjz.anddowns1888.com:8080/live/m3u8/390/37fa2a8e3c741c9ff635ed35bc0e4623/playlist.m3u8
翡翠台,http://vnd.anddowns1888.com:8080/live/m3u8/30/fea0dbf0fe81eb3f3709e1ef51f9169b/playlist.m3u8
明珠台,http://ltr.anddowns1888.com:8080/live/m3u8/391/f0d473b7de2ff2af20498d100dc9e1a4/playlist.m3u8
無線新聞台,http://nsk.anddowns1888.com:8080/live/m3u8/394/c778be8363d145aae87f7c82ba4ef36e/playlist.m3u8
Viu tv,http://mjh.anddowns1888.com:8080/live/m3u8/2334/0b4f3faecc8c92711bc270ae6d397f95/playlist.m3u8
TVB j2,http://vnd.anddowns1888.com:8080/live/m3u8/2834/af018bda2395510ad92fdc46530cd52e/playlist.m3u8
鳳凰衛視台,http://gbx.anddowns1888.com:8080/live/m3u8/2812/bece129f160fc48109defb3b92b65953/playlist.m3u8
鳳凰資訊台,http://gbx.anddowns1888.com:8080/live/m3u8/2811/5f5b8173a6af387abf491d3df9087e02/playlist.m3u8
HOY,http://nsk.anddowns1888.com:8080/live/m3u8/401/726e54ce08759bc846d2feb635274591/playlist.m3u8
新聞,#genre#
HOY 78,http://nsk.anddowns1888.com:8080/live/m3u8/395/9fe342a8ec9ae4e6048f1d5d2c66da03/playlist.m3u8
三立新聞,http://gbx.anddowns1888.com:8080/live/m3u8/43/d8fde1a955be2b9ccdbf372fdfbbd147/playlist.m3u8
三立新聞2,http://ltr.anddowns1888.com:8080/live/m3u8/2794/83660a89db9197e30869749f68b4a758/playlist.m3u8
三立新聞,http://mjh.anddowns1888.com:8080/live/m3u8/2392/5a9450c1d10a30d2f56caa709ad96169/playlist.m3u8
東森新聞,http://wjz.anddowns1888.com:8080/live/m3u8/1025/5ce09539900aa4d90724c9a2fd5a545f/playlist.m3u8
東森新聞4,http://zms.anddowns1888.com:8080/live/m3u8/2766/f3ef35ca47b5884d69f5b3df66f89c2c/playlist.m3u8
東森新聞,http://hrt.anddowns1888.com:8080/live/m3u8/1358/48eabc593bb91aabe1891dddee7b40b3/playlist.m3u8
東森新聞,http://hrt.anddowns1888.com:8080/live/m3u8/2393/39e5cf88cb7267fd0570ecc01213f9db/playlist.m3u8
中天新聞,http://ykp.anddowns1888.com:8080/live/m3u8/2394/432616ae4ef4ca143772850643bc3605/playlist.m3u8
中天新聞2,http://zms.anddowns1888.com:8080/live/m3u8/2420/fd4dd51058b41394cd07e71792356d7f/playlist.m3u8
華視新聞2,http://gbx.anddowns1888.com:8080/live/m3u8/2424/6dd0cc11644225de4d5444becb4ca17a/playlist.m3u8
年代新聞,http://zms.anddowns1888.com:8080/live/m3u8/2719/4e8aec6588008aa8a822605f32bc7359/playlist.m3u8
壹新聞,http://hrt.anddowns1888.com:8080/live/m3u8/2777/3ef0aa232d3668b26f4ad7b231e41a2e/playlist.m3u8
年代新聞備,http://ykp.anddowns1888.com:8080/live/m3u8/1099/3b287a41741a0cd77fb10598df5ef8c9/playlist.m3u8
非凡新聞,http://hrt.anddowns1888.com:8080/live/m3u8/2795/8f38a5fa98d0c63e1077f4494fb90c55/playlist.m3u8
影視,#genre#
